SULF1,COL8A1,INHBA,FN1,COL10A1,THBS2,NTM,NOX4,RASAL2,ADAMTS12,CAPG,LTBP1,CTHRC1,FAP,WISP1,VCAN,TIMP1,MIR34AHG,SLPI,GPRC5A
7.333715422,4.286015144,4.278766979,9.800276254,4.482315897,6.169672812,5.502257699,3.184104341,7.623473818,5.288687498,7.014574553,6.736726134,7.428796235,4.46999688,4.171687649,8.938655929,9.655839764,5.589879285,6.710236902,9.459533133
5.572986129,4.367023216,3.620938788,8.714515336,4.840771896,5.741735257,4.229799004,3.593485049,7.697269304,5.54507914,8.97114694,8.121965315,6.751708258,4.099917179,3.471178648,9.236070734,10.11456259,5.93205617,10.4524196,8.169688067
6.883095327,6.504218296,5.00285346,9.731446178,5.216488057,7.861970966,4.422184452,4.1800924,7.631226693,5.429566834,6.840525366,8.433496818,5.513186607,5.802885723,3.381501645,8.009327774,9.523273528,5.917829843,6.847862423,6.244560745
9.330514443,9.337660483,8.748021528,11.43271483,7.551035258,10.45615625,7.661911115,6.696689409,8.29498794,6.676277904,8.105411201,8.571264904,10.31022815,9.174819424,8.432912505,12.15257712,13.20019277,6.376156459,6.513727784,7.616677484
5.128886754,5.281859785,4.336174949,9.053041529,5.557308997,6.838665213,4.309410109,3.822811419,7.731887516,5.382149771,6.186993006,7.958189846,6.628600494,6.476428727,3.107280542,7.701847237,9.850096036,6.515448901,7.560800158,4.976845022
6.042568039,6.626366453,6.921166228,9.442287874,6.661693318,7.597534076,5.266731233,4.151729707,7.488265723,5.369255192,6.677052019,8.001197427,7.338989046,7.327304107,3.668347211,8.624374951,9.292921791,5.914468935,6.911416047,6.152767895
4.562474588,4.348933341,3.105020285,7.31908466,5.752161018,5.512263985,4.831699848,3.55239422,7.609796179,5.802701156,6.329664687,6.351284359,5.273880097,6.117116898,3.119643739,6.700304032,8.409115653,6.464014816,6.869652962,5.685460867
5.360186396,4.140125604,4.078897311,8.737002155,6.086624692,7.155070871,4.986237286,3.913126624,6.991945136,5.649230977,6.72663888,7.112061734,8.754613626,6.520269247,3.175013498,7.660691138,8.701866745,6.215436037,7.098253912,6.545913555
9.393836801,10.23554399,9.904739999,11.70353984,9.615259215,10.66055116,8.837551499,6.877491067,8.174594493,6.823070026,8.183975274,9.419316061,10.76445841,9.623100611,8.036585451,11.51237965,12.81858781,5.98239303,9.407304466,7.814346622
9.22000502,8.795171628,9.886721818,12.09426989,5.278096256,11.26155737,7.193770881,5.776586816,8.629394717,7.720494872,7.900307158,8.759934794,11.65724798,9.38443691,8.26340219,11.94036365,12.70517763,6.686715305,6.405954918,10.02564453
4.929744751,4.47193699,4.260049724,7.358007389,5.247477501,5.772942282,3.989523826,3.721924815,7.508123618,5.954644219,6.226769111,6.790809772,5.475087955,6.054457891,2.796432574,6.419705575,8.094648426,6.407748568,6.888739687,4.88476444
8.156898584,8.893692591,8.809811584,11.04977719,8.717576973,10.15135557,7.653541874,5.686507233,8.313625529,6.512373295,8.041069557,8.372063094,9.814548294,8.639130638,6.33820517,10.70868858,11.14720162,6.075593988,7.63559546,5.135163962
5.052202024,4.207376293,3.884965948,8.102469989,5.802147964,6.435204275,5.162952524,3.917936296,7.185931216,5.717427557,6.157541448,7.055870221,6.091676389,5.907303097,3.250130512,6.561816714,9.224673975,6.35385729,7.057145688,5.539958679
5.12272393,4.215694663,3.68400014,7.99501203,5.667639852,6.091737493,4.396699688,3.988385648,6.827746322,5.597790916,6.143579638,7.01239536,4.741771672,5.575097413,3.355601821,5.925709982,8.349756965,6.02738911,7.04125923,6.168975247
5.591072476,5.10964903,4.454961161,8.704124919,5.007269688,7.510679113,5.81347821,4.015194769,7.737290751,5.355821439,5.844753446,7.861813405,6.335034063,4.753671684,3.153247771,6.987484818,8.869221862,6.580474309,7.449565308,5.570292359
5.606398182,4.506785572,3.723855026,8.206990501,5.817834615,6.698431839,4.133042668,3.741533227,7.603244185,5.72535646,6.44823407,7.267653445,5.839315783,5.483212458,3.036561034,7.278562241,8.580442696,5.917315478,7.272636069,5.717412721
8.503957352,7.902792537,6.329756304,10.9879445,6.542637751,9.190839071,6.685615642,5.522630724,7.512150578,5.861751134,8.075119337,8.322177575,9.56824943,6.996822159,6.691297866,10.23243923,11.64900905,6.053878785,8.286100447,6.183388405
11.37547343,10.07349973,10.56305798,13.42912723,10.31517376,11.60742121,9.740782627,6.986609995,8.729492843,8.717361973,9.585106112,9.661112162,12.04844609,10.31334336,8.298664934,12.27835955,12.79451264,6.593396548,8.506458511,6.621529381
6.463834586,3.598249249,3.521708814,9.023476614,4.939467659,5.163165734,4.690895448,3.678095741,7.411514256,5.185905269,6.821065184,7.059725393,6.338601854,4.691624653,3.109661122,7.751034241,8.629874856,5.622007572,5.01083964,8.386527534
7.359772485,4.016912623,4.417814827,9.417631935,4.876870639,6.15607773,5.26505454,3.505771969,7.330145222,5.048867988,7.8874046,7.503575576,6.551356462,3.948817302,4.515973893,8.174769604,8.84988847,5.86929992,5.696406823,7.948880119
5.518711087,4.159349266,4.578072349,8.452373591,5.795899055,6.548684297,4.78254422,3.81846927,7.466432917,5.519907772,6.389837555,7.065627559,5.144679436,5.949183336,3.058369954,7.745169355,8.81582246,6.139930378,6.828244711,5.396320057
5.24562147,3.828288647,3.610000726,8.353457699,5.670363585,6.631178156,4.432130261,3.819406953,7.007266324,5.457358358,6.604003394,7.369435591,5.524576228,5.339593388,3.271101558,7.70120584,8.939597649,5.951665457,7.407461599,6.327775648
4.307833605,4.418107215,3.93590381,7.971384927,5.703289812,5.700742761,4.542254749,3.909393354,7.079369398,5.964571421,6.443354902,6.589936868,5.362992333,6.014388982,3.218334208,6.72769709,8.270466788,6.075669599,6.038769141,5.980054936
5.96955782,5.158511364,4.968760162,8.671725994,7.3371112,7.388811718,4.574732441,4.538855721,6.678849238,5.848807502,7.703809034,6.36072645,5.57044806,5.481476626,3.772076999,7.118497846,9.329106739,6.655695896,7.104421942,5.511698507
5.29406963,4.770319767,4.653755826,7.754706937,6.130822353,6.681102693,3.786129517,3.474536429,6.955628869,4.891320866,6.602680994,7.033350197,6.326334828,6.022248732,2.906869408,7.250745426,8.382300313,5.915187148,6.336519021,5.108955351
6.424483053,5.472978279,6.01474597,9.714352161,6.500287004,8.029528495,5.695947923,4.201910327,6.721248352,5.529605124,6.895132576,7.596965194,6.9604096,6.653514134,3.722340246,8.705369073,9.498875099,6.128744469,7.494594621,6.723327523
6.398857806,4.20852756,3.727144409,8.683804112,5.00988226,6.989162789,4.319686814,4.307774506,6.871606602,5.435438488,7.723067988,7.546862504,7.781609105,4.387455382,5.716933263,7.661842836,10.5995757,6.428379147,5.848859655,5.846980437
10.95798055,8.930421153,11.13807757,13.28963597,9.77101088,11.2431908,9.173879958,7.548573938,8.68604449,8.775201563,9.155116313,9.092830515,11.60127673,9.915168858,8.850977048,12.05918571,13.03091912,6.833571498,10.64188783,9.436840806
11.08572772,9.213327855,11.04144589,13.32950564,9.439974983,11.36509878,9.166858208,7.867285185,8.749690093,9.021561581,9.085070104,9.164290628,11.56097024,9.938194362,8.955645309,11.9065397,12.9130297,6.951551855,10.70239064,9.523223592
